url,depart,arrive,cabin
https://www.google.com/travel/flights/search?tfs=CBwQAhoiEgoyMDI1LTA1LTEzMgJHOWoHCAESA1NISnIHCAESA01MRRoiEgoyMDI1LTA1LTE3MgJHOWoHCAESA01MRXIHCAESA1NISkABSAFwAYIBCwj___________8BmAEB&tfu=EgoIABAAGAAgASgI&hl=en&gl=IN&curr=USD,SHJ,MLE,ECO
https://www.google.com/travel/flights/search?tfs=CBwQAhoiEgoyMDI1LTEwLTAxMgJHOWoHCAESA1NISnIHCAESA0dPWBoiEgoyMDI1LTEwLTA1MgJHOWoHCAESA0dPWHIHCAESA1NISkABSAFwAYIBCwj___________8BmAEB&tfu=EgoIABAAGAAgASgI&hl=en&gl=IN&curr=USD,SHJ,GOX,ECO
https://www.google.com/travel/flights/search?tfs=CBwQAhoiEgoyMDI1LTEwLTAxMgJHOWoHCAESA1NISnIHCAESA0tVTBoiEgoyMDI1LTEwLTA1MgJHOWoHCAESA0tVTHIHCAESA1NISkABSAFwAYIBCwj___________8BmAEB&tfu=EgoIABAAGAAgASgI&hl=en&gl=IN&curr=USD,SHJ,KUL,ECO
https://www.google.com/travel/flights/search?tfs=CBwQAhoiEgoyMDI1LTEwLTAxMgJHOWoHCAESA1NISnIHCAESA0hLVBoiEgoyMDI1LTEwLTA1MgJHOWoHCAESA0hLVHIHCAESA1NISkABSAFwAYIBCwj___________8BmAEB&tfu=EgoIABAAGAAgASgI&hl=en&gl=IN&curr=USD,SHJ,HKT,ECO
https://www.google.com/travel/flights/search?tfs=CBwQAhoiEgoyMDI1LTEwLTAxMgJHOWoHCAESA1NISnIHCAESA0JLSxoiEgoyMDI1LTEwLTA1MgJHOWoHCAESA0JLS3IHCAESA1NISkABSAFwAYIBCwj___________8BmAEB&tfu=EgoIABAAGAAgASgI&hl=en&gl=IN&curr=USD,SHJ,BKK,ECO
https://www.google.com/travel/flights/search?tfs=CBwQAhoiEgoyMDI1LTEwLTAxMgJHOWoHCAESA1NISnIHCAESA1RBUxoiEgoyMDI1LTEwLTA1MgJHOWoHCAESA1RBU3IHCAESA1NISkABSAFwAYIBCwj___________8BmAEB&tfu=EgoIABAAGAAgASgI&hl=en&gl=IN&curr=USD,SHJ,TAS,ECO
https://www.google.com/travel/flights/search?tfs=CBwQAhoiEgoyMDI1LTEwLTAyMgJHOWoHCAESA1NISnIHCAESA0ZSVRoiEgoyMDI1LTEwLTA1MgJHOWoHCAESA0ZSVXIHCAESA1NISkABSAFwAYIBCwj___________8BmAEB&tfu=EgoIABAAGAAgASgI&hl=en&gl=IN&curr=USD,SHJ,FRU,ECO
https://www.google.com/travel/flights/search?tfs=CBwQAhoiEgoyMDI1LTEwLTAyMgJHOWoHCAESA1NISnIHCAESA1NWWBoiEgoyMDI1LTEwLTA1MgJHOWoHCAESA1NWWHIHCAESA1NISkABSAFwAYIBCwj___________8BmAEB&tfu=EgoIABAAGAAgASgI&hl=en&gl=IN&curr=USD,SHJ,SVX,ECO
https://www.google.com/travel/flights/search?tfs=CBwQAhoiEgoyMDI1LTEwLTAyMgJHOWoHCAESA1NISnIHCAESA1VGQRoiEgoyMDI1LTEwLTA1MgJHOWoHCAESA1VGQXIHCAESA1NISkABSAFwAYIBCwj___________8BmAEB&tfu=EgoIABAAGAAgASgI&hl=en&gl=IN&curr=USD,SHJ,UFA,ECO
https://www.google.com/travel/flights/search?tfs=CBwQAhoiEgoyMDI1LTEwLTAxMgJHOWoHCAESA1NISnIHCAESA0tVRhoiEgoyMDI1LTEwLTA2MgJHOWoHCAESA0tVRnIHCAESA1NISkABSAFwAYIBCwj___________8BmAEB&tfu=EgoIABAAGAAgASgI&hl=en&gl=IN&curr=USD,SHJ,KUF,ECO
