url,depart,arrive,cabin
"https://www.google.com/travel/flights/search?tfs=CBwQAhoiEgoyMDI1LTEwLTAxMgJXWWoHCAESA1JVSHIHCAESA01DVBoiEgoyMDI1LTEwLTA1MgJXWWoHCAESA01DVHIHCAESA1JVSEABSAFwAYIBCwj___________8BmAEB&hl=en&gl=IN&curr=USD",RUH,MCT,ECO
"https://www.google.com/travel/flights/search?tfs=CBwQAhoiEgoyMDI1LTEwLTAxMgJXWWoHCAESA0FVSHIHCAESA01DVBoiEgoyMDI1LTEwLTA1MgJXWWoHCAESA01DVHIHCAESA0FVSEABSAFwAYIBCwj___________8BmAEB&hl=en&gl=IN&curr=USD",AUH,MCT,ECO
"https://www.google.com/travel/flights/search?tfs=CBwQAhoiEgoyMDI1LTEwLTAxMgJXWWoHCAESA1NMTHIHCAESA01DVBoiEgoyMDI1LTEwLTA1MgJXWWoHCAESA01DVHIHCAESA1NMTEABSAFwAYIBCwj___________8BmAEB&hl=en&gl=IN&curr=USD",SLL,MCT,ECO
"https://www.google.com/travel/flights/search?tfs=CBwQAhoiEgoyMDI1LTEwLTAxMgJXWWoHCAESA0RRTXIHCAESA01DVBoiEgoyMDI1LTEwLTA1MgJXWWoHCAESA01DVHIHCAESA0RRTUABSAFwAYIBCwj___________8BmAEB&hl=en&gl=IN&curr=USD",DQM,MCT,ECO
"https://www.google.com/travel/flights/search?tfs=CBwQAhoiEgoyMDI1LTEwLTAxMgJXWWoHCAESA0tIU3IHCAESA01DVBoiEgoyMDI1LTEwLTA1MgJXWWoHCAESA01DVHIHCAESA0tIU0ABSAFwAYIBCwj___________8BmAEB&hl=en&gl=IN&curr=USD",KHS,MCT,ECO
"https://www.google.com/travel/flights/search?tfs=CBwQAhoiEgoyMDI1LTEwLTAxMgJXWWoHCAESA0JMUnIHCAESA01DVBoiEgoyMDI1LTEwLTA1MgJXWWoHCAESA01DVHIHCAESA0JMUkABSAFwAYIBCwj___________8BmAEB&hl=en&gl=IN&curr=USD",BLR,MCT,ECO
"https://www.google.com/travel/flights/search?tfs=CBwQAhoiEgoyMDI1LTEwLTAxMgJXWWoHCAESA0JPTXIHCAESA01DVBoiEgoyMDI1LTEwLTA1MgJXWWoHCAESA01DVHIHCAESA0JPTUABSAFwAYIBCwj___________8BmAEB&hl=en&gl=IN&curr=USD",BOM,MCT,ECO
"https://www.google.com/travel/flights/search?tfs=CBwQAhoiEgoyMDI1LTEwLTAxMgJXWWoHCAESA0NDSnIHCAESA01DVBoiEgoyMDI1LTEwLTA1MgJXWWoHCAESA01DVHIHCAESA0NDSkABSAFwAYIBCwj___________8BmAEB&hl=en&gl=IN&curr=USD",CCJ,MCT,ECO
"https://www.google.com/travel/flights/search?tfs=CBwQAhoiEgoyMDI1LTEwLTAxMgJXWWoHCAESA0RFTHIHCAESA01DVBoiEgoyMDI1LTEwLTA1MgJXWWoHCAESA01DVHIHCAESA0RFTEABSAFwAYIBCwj___________8BmAEB&hl=en&gl=IN&curr=USD",DEL,MCT,ECO
"https://www.google.com/travel/flights/search?tfs=CBwQAhoiEgoyMDI1LTEwLTAxMgJXWWoHCAESA0hZRHIHCAESA01DVBoiEgoyMDI1LTEwLTA1MgJXWWoHCAESA01DVHIHCAESA0hZREABSAFwAYIBCwj___________8BmAEB&hl=en&gl=IN&curr=USD",HYD,MCT,ECO
